"mail","first_name","last_name","password","username"
"valeria.soto@email.com","Valeria","Soto","e10","val_soto"
"rodrigo.medina@email.com","Rodrigo","Medina","25d","rodri_med"
"camila.vega@email.com","Camila","Vega","5f4","cami_vega"
"bruno.ortiz@email.com","Bruno","Ortiz","098","bruno_or"
"daniela.rojas@email.com","Daniela","Rojas","1a1","dani_roj"
"matias.silva@email.com","Matías","Silva","827","mati_silva"
"florencia.pinto@email.com","Florencia","Pinto","e99","flor_pin"
"ignacio.duarte@email.com","Ignacio","Duarte","c20","nacho_duar"
"valentina.cruz@email.com","Valentina","Cruz","c51","vale_cruz"
"sebastian.vargas@email.com","Sebastián","Vargas","aab","seba_var"
"luciana.herrera@email.com","Luciana","Herrera","9bf","luci_her"
"tomas.salazar@email.com","Tomás","Salazar","c74","tomi_sal"
"martina.bravo@email.com","Martina","Bravo","70e","marti_bravo"
"felipe.cordero@email.com","Felipe","Cordero","6f4","feli_cord"
"antonella.nunez@email.com","Antonella","Núñez","1f0","anto_nun"
"joaquin.sandoval@email.com","Joaquín","Sandoval","98f","joaco_sand"
"catalina.sepulveda@email.com","Catalina","Sepúlveda","3c5","cata_sep"
"andres.cabrera@email.com","Andrés","Cabrera","b6d","andres_cab"
"sofia.pena@email.com","Sofía","Peña","376","sofi_pena"
"diego.araya@email.com","Diego","Araya","1ff","diego_ar"
"pablo.guzman@email.com","Pablo","Guzmán","4e7","pablo_guz"
"agustina.munoz@email.com","Agustina","Muñoz","02e","agus_mun"
"nicolas.fuentes@email.com","Nicolás","Fuentes","33e","nico_fuent"
"renata.castillo@email.com","Renata","Castillo","6ea","rena_cast"
"emiliano.rios@email.com","Emiliano","Ríos","341","emi_rios"
"constanza.lagos@email.com","Constanza","Lagos","c16","consti_lag"
"maximiliano.rubio@email.com","Maximiliano","Rubio","636","maxi_rub"
"javiera.espinoza@email.com","Javiera","Espinoza","182","javi_esp"
"gabriel.moreno@email.com","Gabriel","Moreno","e36","gabi_mor"
"macarena.parra@email.com","Macarena","Parra","1c3","maca_parra"
"cristobal.alvarez@email.com","Cristóbal","Álvarez","19c","cris_alv"
"emilia.carrasco@email.com","Emilia","Carrasco","a5b","emi_carr"
"lucas.figueroa@email.com","Lucas","Figueroa","a57","lucas_fig"
"fernanda.ibanez@email.com","Fernanda","Ibáñez","d67","fer_iba"
"vicente.paredes@email.com","Vicente","Paredes","a1d","vice_par"
"dominga.riquelme@email.com","Dominga","Riquelme","17e","domi_riq"
"gonzalo.miranda@email.com","Gonzalo","Miranda","f71","gonza_mir"
"amanda.saavedra@email.com","Amanda","Saavedra","6c8","ama_saav"
"alonso.tapia@email.com","Alonso","Tapia","d9d","alon_tap"
"paz.villanueva@email.com","Paz","Villanueva","67c","paz_villa"
"esteban.valdes@email.com","Esteban","Valdés","642","este_vald"
"josefina.arancibia@email.com","Josefina","Arancibia","f45","jose_aran"
"raul.contreras@email.com","Raúl","Contreras","c0c","raul_cont"
"elisa.bustos@email.com","Elisa","Bustos","283","eli_bust"
"hugo.reyes@email.com","Hugo","Reyes","9a1","hugo_rey"
"paloma.soto@email.com","Paloma","Soto","d82","palo_soto"
"claudio.medina@email.com","Claudio","Medina","96d","clau_med"
